sex,time_after_waking_h,p05_nmol_L,median_nmol_L,p95_nmol_L,age_group,waking_time_assumption,source_doi
Female,1.0,2.1,7.5,26.7,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Female,3.5,1.1,4.1,14.5,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Female,6.0,0.7,2.4,8.6,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Female,8.5,0.4,1.6,5.5,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Female,11.0,0.3,1.1,3.9,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Female,13.5,0.2,0.8,3.0,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Female,16.0,0.2,0.7,2.5,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Male,1.0,2.0,7.1,25.3,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Male,3.5,1.1,3.9,13.7,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Male,6.0,0.6,2.3,8.1,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Male,8.5,0.4,1.5,5.2,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Male,11.0,0.3,1.0,3.7,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Male,13.5,0.2,0.8,2.8,21-30,07:00,10.1016/j.psyneuen.2016.07.201
Male,16.0,0.2,0.7,2.4,21-30,07:00,10.1016/j.psyneuen.2016.07.201
