profile,source_file,run_id,dummy_mean_delta_nA,dummy_sd_delta_nA,dummy_expected_delta_nA,dummy_error_pct,dummy_scan_ms,dummy_boundary_jump_nA
1MVSEG,dummy_1mV(Seg).csv,1,69.59765624999997,7.559785178920809,70.187,0.84,3500,13.896
1MVSEG,dummy_1mV(Seg).csv,2,69.40520673076921,7.427463279397476,70.187,1.11,3500,20.340000000000003
1MVSEG,dummy_1mV(Seg).csv,3,69.5050985576923,7.490820599595429,70.187,0.97,3500,4.721999999999994
1MVSEG,dummy_1mV(Seg).csv,4,69.55435576923071,7.541317871046114,70.187,0.9,3500,1.4629999999999939
1MVSEG,dummy_1mV(Seg).csv,5,69.51329086538466,7.503707961442473,70.187,0.96,3500,14.255000000000003
1MVSEG,dummy_1mV(Seg).csv,6,69.63284134615381,7.535476970301817,70.187,0.79,3500,15.491
1MVSEG,dummy_1mV(Seg).csv,7,69.47124519230765,7.367840799758046,70.187,1.02,3500,16.518
1MVSEG,dummy_1mV(Seg).csv,8,69.55668028846154,7.4183551274075175,70.187,0.89,3500,3.4199999999999875
1MVSEG,dummy_1mV(Seg).csv,9,69.45225721153847,7.2859540049741245,70.187,1.04,3500,4.5859999999999985
1MVSEG,dummy_1mV(Seg).csv,10,69.71785336538467,7.565955357548867,70.187,0.66,3500,13.805000000000007
1MVSEG,dummy_1mV(Seg).csv,11,69.62530769230771,7.506185018958179,70.187,0.8,3500,0.6440000000000055
1MVSEG,dummy_1mV(Seg).csv,12,69.46776682692305,7.369962874206763,70.187,1.02,3500,12.283000000000001
1MVSEG,dummy_1mV(Seg).csv,13,69.47426201923082,7.348508017481353,70.187,1.01,3500,13.11800000000001
1MVSEG,dummy_1mV(Seg).csv,14,69.36521394230773,7.2564182183042405,70.187,1.17,3500,13.311000000000007
1MVSEG,dummy_1mV(Seg).csv,15,69.40996394230766,7.337648703274954,70.187,1.1,3500,14.857
2MV,dummy_2mV.csv,1,69.60584541062802,8.481300803284359,70.187,0.82,1759,NaN
2MV,dummy_2mV.csv,2,69.66135748792267,8.446722628501787,70.187,0.74,1759,NaN
2MV,dummy_2mV.csv,3,69.80083574879224,9.18847909079717,70.187,0.55,1759,NaN
2MV,dummy_2mV.csv,4,69.80281642512077,9.239590668607471,70.187,0.54,1759,NaN
2MV,dummy_2mV.csv,5,69.78646376811591,8.939847663142015,70.187,0.57,1759,NaN
2MV,dummy_2mV.csv,6,69.66185990338161,8.853839831498593,70.187,0.74,1759,NaN
2MV,dummy_2mV.csv,7,69.66228502415458,8.85884790669198,70.187,0.74,1759,NaN
2MV,dummy_2mV.csv,8,69.80628019323669,8.849595111068556,70.187,0.54,1759,NaN
2MV,dummy_2mV.csv,9,69.48096618357486,8.57445077206349,70.187,1,1759,NaN
2MV,dummy_2mV.csv,10,69.36261352657,8.47196376665443,70.187,1.17,1759,NaN
2MV,dummy_2mV.csv,11,69.39159903381643,8.54284732998865,70.187,1.13,1759,NaN
2MV,dummy_2mV.csv,12,69.35651207729471,8.420590279138708,70.187,1.18,1759,NaN
2MV,dummy_2mV.csv,13,69.3592801932367,8.401828891791114,70.187,1.17,1759,NaN
2MV,dummy_2mV.csv,14,69.45877294685991,8.74074017169985,70.187,1.03,1759,NaN
2MV,dummy_2mV.csv,15,69.39283574879225,7.7217982350356245,70.187,1.13,1759,NaN
5MV,dummy_5mV.csv,1,69.90819753086421,9.381080907096678,70.187,0.39,709,NaN
5MV,dummy_5mV.csv,2,69.84981481481482,9.139476203687924,70.187,0.48,709,NaN
5MV,dummy_5mV.csv,3,69.44416049382714,9.032849322689918,70.187,1.05,709,NaN
5MV,dummy_5mV.csv,4,69.74293827160497,9.146036181518308,70.187,0.63,709,NaN
5MV,dummy_5mV.csv,5,69.74932098765431,9.032963303682742,70.187,0.62,709,NaN
5MV,dummy_5mV.csv,6,69.6681851851852,9.026925384801725,70.187,0.73,709,NaN
5MV,dummy_5mV.csv,7,69.75134567901235,9.049183231320512,70.187,0.62,709,NaN
5MV,dummy_5mV.csv,8,69.79218518518519,9.09457698179403,70.187,0.56,709,NaN
5MV,dummy_5mV.csv,9,69.42081481481483,8.964484653496696,70.187,1.09,709,NaN
5MV,dummy_5mV.csv,10,69.8021111111111,9.087647953403566,70.187,0.54,709,NaN
5MV,dummy_5mV.csv,11,69.69416049382714,9.09062813211605,70.187,0.7,709,NaN
5MV,dummy_5mV.csv,12,69.69432098765431,9.090563666279392,70.187,0.7,709,NaN
5MV,dummy_5mV.csv,13,69.4262962962963,9.00161783853942,70.187,1.08,709,NaN
5MV,dummy_5mV.csv,14,69.85766666666669,9.188671136241627,70.187,0.47,709,NaN
5MV,dummy_5mV.csv,15,69.78137037037037,9.168581106753166,70.187,0.57,709,NaN
