# NanoStat SWV multi-run export
# Exported_at,2026-09-07T15:58:07.882Z
# Runs,15
# Peak_runs,0
# Dummy_runs,15
# I_peak_mean_nA,
# I_peak_sd_nA,
# V_peak_mean_mV,
# V_peak_sd_mV,
# sigma_baseline_mean_nA,
# sigma_baseline_sd_nA,
# SNR_mean,
# Dummy_mean_delta_mean_nA,69.641496
# Dummy_sd_delta_mean_nA,8.982968
# Dummy_error_mean_pct,0.773333
# Peak_search_window_mV,-400..-80

SUMMARY
run_id,mode,timestamp,frequency_hz,tia_path,peak_method,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,points,I_peak_nA,V_peak_mV,sigma_baseline_nA,SNR,baseline_points,dummy_mean_delta_nA,dummy_sd_delta_nA,dummy_expected_delta_nA,dummy_error_pct,dummy_scan_ms,dummy_boundary_jump_nA
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.6524074074074,7.77324327545745,70.187,0.76,709,NaN
32,dummy,2026-09-07T15:49:27.491Z,120,HSTIAEXT3HDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.78537037037037,7.838276777207545,70.187,0.57,709,NaN
33,dummy,2026-09-07T15:49:50.937Z,120,HSTIAEHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.56244471153849,9.223184612275551,70.187,0.89,3500,27.031999999999996
34,dummy,2026-09-07T15:50:05.159Z,120,HSTIAEXT3HDR,SG5,,blank,2MV,995000,battery,211,,,,,,69.78403381642508,10.044279152000751,70.187,0.57,1759,NaN
35,dummy,2026-09-07T15:50:19.340Z,120,HSTIAEXT3HDR,SG5,,blank,2MV,995000,battery,211,,,,,,69.63023671497584,9.877906179070994,70.187,0.79,1759,NaN
36,dummy,2026-09-07T15:50:42.741Z,120,HSTIAEHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.50177403846152,9.734265599090545,70.187,0.97,3500,2.1640000000000015
37,dummy,2026-09-07T15:50:51.112Z,120,HSTIAEXT3HDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.71075308641974,10.012731428699745,70.187,0.67,709,NaN
38,dummy,2026-09-07T15:51:14.639Z,120,HSTIAEHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.55066105769231,9.724311897880016,70.187,0.9,3500,7.964999999999996
39,dummy,2026-09-07T15:51:22.964Z,120,HSTIAEXT3HDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.8565679012346,9.962014093468087,70.187,0.47,709,NaN
40,dummy,2026-09-07T15:51:37.280Z,120,HSTIAEXT3HDR,SG5,,blank,2MV,995000,battery,211,,,,,,69.6432850241546,9.766088491718453,70.187,0.77,1759,NaN
41,dummy,2026-09-07T15:51:45.597Z,120,HSTIAEXT3HDR,SG5,,blank,5MV,995000,battery,85,,,,,,70.01039506172842,9.565391129848026,70.187,0.25,709,NaN
42,dummy,2026-09-07T15:52:08.823Z,120,HSTIAEHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.60729086538461,7.837265210841915,70.187,0.82,3500,11.626000000000005
43,dummy,2026-09-07T15:52:32.476Z,120,HSTIAEHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.55470913461535,7.688264645377535,70.187,0.9,3500,3.835000000000008
44,dummy,2026-09-07T15:52:46.573Z,120,HSTIAEXT3HDR,SG5,,blank,2MV,995000,battery,211,,,,,,69.33146376811595,7.832593481596799,70.187,1.21,1759,NaN
45,dummy,2026-09-07T15:53:00.619Z,120,HSTIAEXT3HDR,SG5,,blank,2MV,995000,battery,211,,,,,,69.44104347826082,7.8647030331139245,70.187,1.06,1759,NaN

RAW_DATA
run_id,mode,timestamp,frequency_hz,tia_path,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,E_WE_RE_mV,Delta_I_nA,Delta_I_avg3_nA,Delta_I_smooth5_nA,Delta_I_smooth7_nA,Delta_I_sg5_nA,I_forward_nA,I_reverse_nA
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-450.173,65.367,65.561,66.45433333333334,65.7865,66.45433333333334,476.733,411.366
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-444.801,65.756,66.454,65.7865,69.5536,65.7865,479.72,413.964
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-439.429,68.24,65.926,69.5536,68.85083333333334,64.7023142857143,465.827,397.587
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-434.057,63.783,72.215,69.5476,69.62671428571429,72.1536,465.307,401.524
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-428.685,84.622,71.247,71.2528,69.51357142857142,73.15565714285714,467.094,382.472
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-423.313,65.337,74.747,70.5198,68.77985714285714,75.21437142857144,451.656,386.319
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-417.941,74.282,68.064,69.88719999999999,70.53185714285715,68.17177142857143,457.908,383.626
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-412.569,64.575,66.492,69.06360000000001,70.56957142857142,65.11645714285714,437.024,372.449
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-407.197,60.62,68.566,68.8056,69.78728571428572,67.3286,441.21,380.59
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-401.825,80.504,68.39,69.7784,69.62400000000001,69.52597142857142,435.78,355.276
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-396.453,64.047,74.565,69.7022,68.42857142857143,75.14734285714286,426.314,362.267
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-391.081,79.146,69.129,70.761,68.89714285714287,69.86057142857142,433.155,354.009
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-385.709,64.194,69.751,68.2312,69.35342857142858,69.60891428571429,411.664,347.47
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-380.337,65.914,65.987,68.18460000000002,69.95785714285715,65.0356,415.62,349.706
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-374.965,67.855,65.861,69.3024,70.13457142857143,64.67097142857143,401.455,333.6
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-369.593,63.814,72.134,69.5204,69.47528571428572,72.0664,401.207,337.393
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-364.221,84.735,71.277,71.2438,69.50928571428571,73.21465714285713,403.085,318.35
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-358.849,65.284,74.85,70.5592,68.75500000000001,75.32234285714287,387.661,322.377
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-353.477,74.531,68.082,69.92320000000001,70.58457142857144,68.21462857142858,394.012,319.481
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-348.105,64.432,66.532,69.1086,70.62057142857144,65.12817142857142,372.803,308.371
31,dummy,2026-09-07T15:49:19.023Z,120,HSTIAEXT3HDR,,blank,5MV,995000,battery,-342.733,60.634,68.576,68.86500000000001,69.85128571428572,67.31757142857144,377.155,316.521
