# NanoStat SWV multi-run export
# Exported_at,2026-09-07T14:53:50.675Z
# Runs,15
# Peak_runs,0
# Dummy_runs,15
# I_peak_mean_nA,
# I_peak_sd_nA,
# V_peak_mean_mV,
# V_peak_sd_mV,
# sigma_baseline_mean_nA,
# sigma_baseline_sd_nA,
# SNR_mean,
# Dummy_mean_delta_mean_nA,69.516600
# Dummy_sd_delta_mean_nA,7.434360
# Dummy_error_mean_pct,0.952000
# Peak_search_window_mV,-400..-80

SUMMARY
run_id,mode,timestamp,frequency_hz,tia_path,peak_method,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,points,I_peak_nA,V_peak_mV,sigma_baseline_nA,SNR,baseline_points,dummy_mean_delta_nA,dummy_sd_delta_nA,dummy_expected_delta_nA,dummy_error_pct,dummy_scan_ms,dummy_boundary_jump_nA
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.59765624999997,7.559785178920809,70.187,0.84,3500,13.896
2,dummy,2026-09-07T14:47:44.377Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.40520673076921,7.427463279397476,70.187,1.11,3500,20.340000000000003
3,dummy,2026-09-07T14:48:11.873Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.5050985576923,7.490820599595429,70.187,0.97,3500,4.721999999999994
4,dummy,2026-09-07T14:48:39.364Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.55435576923071,7.541317871046114,70.187,0.9,3500,1.4629999999999939
5,dummy,2026-09-07T14:49:06.778Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.51329086538466,7.503707961442473,70.187,0.96,3500,14.255000000000003
6,dummy,2026-09-07T14:49:33.729Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.63284134615381,7.535476970301817,70.187,0.79,3500,15.491
7,dummy,2026-09-07T14:50:00.738Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.47124519230765,7.367840799758046,70.187,1.02,3500,16.518
8,dummy,2026-09-07T14:50:27.735Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.55668028846154,7.4183551274075175,70.187,0.89,3500,3.4199999999999875
9,dummy,2026-09-07T14:50:55.098Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.45225721153847,7.2859540049741245,70.187,1.04,3500,4.5859999999999985
10,dummy,2026-09-07T14:51:22.467Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.71785336538467,7.565955357548867,70.187,0.66,3500,13.805000000000007
11,dummy,2026-09-07T14:51:49.880Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.62530769230771,7.506185018958179,70.187,0.8,3500,0.6440000000000055
12,dummy,2026-09-07T14:52:17.187Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.46776682692305,7.369962874206763,70.187,1.02,3500,12.283000000000001
13,dummy,2026-09-07T14:52:44.553Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.47426201923082,7.348508017481353,70.187,1.01,3500,13.11800000000001
14,dummy,2026-09-07T14:53:12.180Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.36521394230773,7.2564182183042405,70.187,1.17,3500,13.311000000000007
15,dummy,2026-09-07T14:53:39.408Z,120,HSTHDR,SG5,,blank,1MVSEG,995000,battery,420,,,,,,69.40996394230766,7.337648703274954,70.187,1.1,3500,14.857

RAW_DATA
run_id,mode,timestamp,frequency_hz,tia_path,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,E_WE_RE_mV,Delta_I_nA,Delta_I_avg3_nA,Delta_I_smooth5_nA,Delta_I_smooth7_nA,Delta_I_sg5_nA,I_forward_nA,I_reverse_nA
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-450.173,64.055,71.525,68.839,67.97274999999999,68.839,479.675,415.62
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-449.099,78.996,68.839,67.97274999999999,68.2434,67.97274999999999,491.508,412.512
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-448.024,63.466,69.278,68.2434,67.62633333333333,68.89197142857142,472.479,409.013
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-446.95,65.374,66.055,68.3406,70.03314285714285,64.97859999999999,481.786,416.412
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-445.876,69.326,66.413,69.4362,70.27557142857142,65.53434285714285,473.248,403.922
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-444.801,64.541,72.78,69.8934,69.49714285714286,72.84054285714286,475.771,411.23
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-443.727,84.474,71.589,71.52799999999999,69.62657142857144,73.45585714285714,481.959,397.485
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-442.652,65.752,74.591,70.5372,68.93714285714286,75.06562857142858,470.85,405.098
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-441.578,73.547,67.89,69.73859999999999,70.53228571428572,67.90631428571427,481.315,407.768
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-440.504,64.372,66.155,68.9422,70.47571428571429,64.70662857142857,464.583,400.211
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-439.429,60.548,68.47,68.6208,69.65871428571428,67.27451428571429,473,412.452
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-438.355,80.492,68.395,69.6624,69.30628571428572,69.57997142857144,472.547,392.055
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-437.28,64.145,74.464,69.44500000000001,68.12642857142858,75.14085714285714,466.913,402.768
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-436.206,78.755,68.728,70.393,68.83842857142858,69.44728571428573,478.355,399.6
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-435.132,63.285,69.109,68.16579999999999,69.43957142857143,68.68165714285715,459.65,396.365
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-434.057,65.288,65.976,68.28799999999998,69.9772857142857,64.88728571428571,468.87,403.582
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-432.983,69.356,66.466,69.38819999999998,70.22942857142856,65.62734285714285,460.6,391.244
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-431.908,64.756,72.789,69.9132,69.4622857142857,72.87434285714285,463.112,398.356
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-430.834,84.256,71.64,71.5326,69.60842857142858,73.48917142857142,468.995,384.739
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-429.76,65.91,74.517,70.523,68.95714285714286,74.99914285714287,458.089,392.179
1,dummy,2026-09-07T14:47:16.922Z,120,HSTHDR,,blank,1MVSEG,995000,battery,-428.685,73.385,67.867,69.71759999999999,70.53357142857143,67.86302857142857,468.437,395.052
