# NanoStat SWV multi-run export
# Exported_at,2026-09-07T14:36:17.207Z
# Runs,15
# Peak_runs,0
# Dummy_runs,15
# I_peak_mean_nA,
# I_peak_sd_nA,
# V_peak_mean_mV,
# V_peak_sd_mV,
# sigma_baseline_mean_nA,
# sigma_baseline_sd_nA,
# SNR_mean,
# Dummy_mean_delta_mean_nA,69.705526
# Dummy_sd_delta_mean_nA,9.099686
# Dummy_error_mean_pct,0.682000
# Peak_search_window_mV,-400..-80

SUMMARY
run_id,mode,timestamp,frequency_hz,tia_path,peak_method,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,points,I_peak_nA,V_peak_mV,sigma_baseline_nA,SNR,baseline_points,dummy_mean_delta_nA,dummy_sd_delta_nA,dummy_expected_delta_nA,dummy_error_pct,dummy_scan_ms,dummy_boundary_jump_nA
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.90819753086421,9.381080907096678,70.187,0.39,709,NaN
2,dummy,2026-09-07T14:32:08.546Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.84981481481482,9.139476203687924,70.187,0.48,709,NaN
3,dummy,2026-09-07T14:32:20.696Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.44416049382714,9.032849322689918,70.187,1.05,709,NaN
4,dummy,2026-09-07T14:32:32.756Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.74293827160497,9.146036181518308,70.187,0.63,709,NaN
5,dummy,2026-09-07T14:32:44.821Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.74932098765431,9.032963303682742,70.187,0.62,709,NaN
6,dummy,2026-09-07T14:32:56.835Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.6681851851852,9.026925384801725,70.187,0.73,709,NaN
7,dummy,2026-09-07T14:33:08.896Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.75134567901235,9.049183231320512,70.187,0.62,709,NaN
8,dummy,2026-09-07T14:33:20.906Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.79218518518519,9.09457698179403,70.187,0.56,709,NaN
9,dummy,2026-09-07T14:33:33.020Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.42081481481483,8.964484653496696,70.187,1.09,709,NaN
10,dummy,2026-09-07T14:33:45.167Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.8021111111111,9.087647953403566,70.187,0.54,709,NaN
11,dummy,2026-09-07T14:33:57.368Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.69416049382714,9.09062813211605,70.187,0.7,709,NaN
12,dummy,2026-09-07T14:34:09.512Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.69432098765431,9.090563666279392,70.187,0.7,709,NaN
13,dummy,2026-09-07T14:34:21.801Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.4262962962963,9.00161783853942,70.187,1.08,709,NaN
14,dummy,2026-09-07T14:34:34.001Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.85766666666669,9.188671136241627,70.187,0.47,709,NaN
15,dummy,2026-09-07T14:34:46.098Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.78137037037037,9.168581106753166,70.187,0.57,709,NaN

RAW_DATA
run_id,mode,timestamp,frequency_hz,tia_path,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,E_WE_RE_mV,Delta_I_nA,Delta_I_avg3_nA,Delta_I_smooth5_nA,Delta_I_smooth7_nA,Delta_I_sg5_nA,I_forward_nA,I_reverse_nA
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-450.173,81.568,72.798,70.389,69.5765,70.389,492.911,411.343
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-444.801,64.028,70.389,69.5765,68.1326,69.5765,469.809,405.781
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-439.429,65.571,65.579,68.1326,71.37033333333333,64.4838857142857,474.742,409.171
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-434.057,67.139,65.022,69.3308,70.34299999999999,63.478228571428566,458.481,391.342
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-428.685,62.357,72.351,69.36099999999999,69.75142857142858,72.20557142857143,459.695,397.338
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-423.313,87.559,71.365,71.7322,69.66428571428571,73.52105714285715,463.289,375.73
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-417.941,64.179,76.388,70.988,68.82071428571429,76.95857142857143,445.373,381.194
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-412.569,77.427,68.341,70.44980000000001,71.098,68.73565714285715,455.759,378.332
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-407.197,63.418,66.837,69.554,71.19185714285715,65.18414285714285,429.942,366.524
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-401.825,59.666,68.721,69.321,70.45171428571429,67.17071428571428,436.436,376.77
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-396.453,83.08,68.586,70.3112,70.45657142857144,69.91805714285715,430.934,347.854
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-391.081,63.014,76.157,70.4702,68.77571428571429,76.71705714285713,420.213,357.199
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-385.709,82.378,69.868,71.66919999999999,69.33971428571428,70.88362857142856,429.35,346.972
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-380.337,64.213,70.75,68.5264,69.69185714285713,70.76997142857142,405.981,341.768
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-374.965,65.661,65.746,68.3498,70.31085714285713,64.61880000000001,410.642,344.981
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-369.593,67.366,65.052,69.35679999999999,70.495,63.538514285714285,394.577,327.211
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-364.221,62.131,72.303,69.3748,69.76185714285714,72.10522857142857,395.595,333.464
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-358.849,87.413,71.282,71.6918,69.62342857142856,73.41122857142857,399.201,311.788
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-353.477,64.303,76.32,70.8674,68.7732857142857,76.94097142857142,381.386,317.083
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-348.105,77.246,68.264,70.3832,70.99757142857142,68.63934285714285,391.546,314.3
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-342.733,63.244,66.733,69.4878,71.14314285714285,65.05437142857143,365.774,302.53
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-337.361,59.71,68.63,69.2572,70.455,67.0869142857143,372.313,312.603
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-331.989,82.936,68.598,70.3272,70.44871428571429,69.90605714285714,366.951,284.015
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-326.617,63.15,76.227,70.53020000000001,68.824,76.80077142857142,356.136,292.986
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-321.245,82.596,70.001,71.7628,69.37342857142858,71.04608571428571,365.129,282.533
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-315.873,64.259,70.909,68.5936,69.70642857142857,70.95174285714286,341.949,277.69
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-310.501,65.873,65.74,68.3718,70.312,64.63194285714286,346.595,280.722
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-305.129,67.09,65.001,69.28760000000001,70.46385714285714,63.46274285714286,330.251,263.161
1,dummy,2026-09-07T14:31:56.575Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-299.757,62.041,72.102,69.2784,69.7387142857143,71.87482857142857,331.473,269.432
