condition,label,start_ms,end_ms,duration_s,count,mean_mA,median_mA,std_mA
OLED connected; 5 runs,BLE advertising,8347,13633,5.286,46,11.217391304347826,2.0,19.49014583062566
OLED connected; 5 runs,BLE connected,13633,26384,12.751,109,12.174311926605505,4.0,18.91984252155172
OLED connected; 5 runs,Setup / quiet,26384,27121,0.737,8,11.125,5.0,19.290136728390497
OLED connected; 5 runs,Run 1,27121,34520,7.399,62,11.241935483870968,5.0,16.932203983468106
OLED connected; 5 runs,Gap 1-2,34520,39557,5.037,45,15.11111111111111,5.0,19.669742383470577
OLED connected; 5 runs,Run 2,39557,46505,6.948,59,14.0,5.0,16.829151463548328
OLED connected; 5 runs,Gap 2-3,46505,51746,5.241,45,16.11111111111111,5.0,18.444176704884054
OLED connected; 5 runs,Run 3,51746,58803,7.057,60,12.616666666666667,7.0,13.580735947984884
OLED connected; 5 runs,Gap 3-4,58803,63833,5.03,43,16.046511627906977,7.0,19.5697363511754
OLED connected; 5 runs,Run 4,63833,71136,7.303,63,14.53968253968254,5.0,19.16579741037167
OLED connected; 5 runs,Gap 4-5,71136,76173,5.037,45,13.266666666666667,5.0,19.457532103418345
OLED connected; 5 runs,Run 5,76173,83471,7.298,61,8.885245901639344,3.0,12.244903068993262
OLED connected; 5 runs,Post-runs,83471,90624,7.153,61,13.327868852459016,5.0,18.874669738919728
OLED connected; 5 runs,BLE disconnected,90624,97622,6.998,62,16.419354838709676,7.0,18.545104898942984
