label,aligned_duration_s,no_oled_mean_mA,oled_mean_mA,delta_mA,delta_percent
BLE advertising,6.988,13.773894022405754,9.490841442472819,-4.283052579932935,-31.095437303102287
BLE connected,9.398,9.401149180676741,13.515694828686927,4.114545648010186,43.766411626222066
Setup / quiet,0.941,5.923728556247083,11.273113708820453,5.349385152573371,90.30435986017594
Run 1,6.936,16.343497693194955,12.234295188663719,-4.109202504531236,-25.142736161318822
Gap 1-2,4.95,8.487652717652713,13.338787878787821,4.851135161135108,57.15520324065173
Run 2,6.825,11.494139194139184,17.117362637362692,5.623223443223509,48.92252780522067
Gap 2-3,5.037,8.01220964860031,14.2709965125992,6.258786863998891,78.11561527340048
Run 3,7.341,16.128729055986966,15.716144528147687,-0.4125845278392788,-2.5580721605967325
Gap 3-4,5.031,17.068972371298116,17.13993241900223,0.07096004770411213,0.41572536506903685
Run 4,7.134,18.719792542753,13.269694421082228,-5.450098121670774,-29.114094663301554
Gap 4-5,4.827,11.240729231406617,9.362440439196119,-1.8782887922104976,-16.709670285114203
Run 5,6.927,15.915259130936914,10.583924188991343,-5.3313349419455704,-33.49826036814093
Post-runs,6.293,22.351183855077025,13.942201085106007,-8.408982769971018,-37.62209118091494
BLE disconnected,3.561,9.143992457977307,21.17467003650649,12.030677578529184,131.56919839794386
ALIGNED FULL CYCLE,82.18900000000002,13.869244522931758,13.644908833656336,-0.22433568927542247,-1.617504752364126
