label,no_oled_mean_mA,oled_mean_mA,delta_mA,delta_percent,note
BLE advertising,11.875,11.217391304347826,-0.6576086956521738,-5.537757437070938,
BLE connected,10.505882352941176,12.174311926605505,1.6684295736643282,15.88090859590906,
Setup / quiet,10.8,11.125,0.3249999999999993,3.0092592592592524,
Run 1,16.442622950819672,11.241935483870968,-5.200687466948704,-31.629305631492617,Different run count/RTIA
Gap 1-2,9.883720930232558,15.11111111111111,5.227390180878553,52.888888888888886,
Run 2,11.82258064516129,14.0,2.17741935483871,18.417462482946796,Different run count/RTIA
Gap 2-3,8.11111111111111,16.11111111111111,8.0,98.63013698630138,
Run 3,14.492063492063492,12.616666666666667,-1.875396825396825,-12.940854326396492,Different run count/RTIA
Gap 3-4,17.266666666666666,16.046511627906977,-1.220155038759689,-7.066534973511712,
Run 4,18.42622950819672,14.53968253968254,-3.88654696851418,-21.09247020279048,Different run count/RTIA
Gap 4-5,12.688888888888888,13.266666666666667,0.5777777777777793,4.553415061295984,
Run 5,17.18032786885246,8.885245901639344,-8.295081967213115,-48.282442748091604,Different run count/RTIA
Post-runs,22.145454545454545,13.327868852459016,-8.817585692995529,-39.81668416377291,
BLE disconnected,10.1875,16.419354838709676,6.231854838709676,61.17158123886799,
