label,start_ms,end_ms,duration_s,count,mean_mA,median_mA,std_mA
BLE advertising,15410,29251,13.841,120,11.875,7.0,16.175888692742664
BLE connected,29251,48867,19.616,170,10.505882352941176,2.0,16.720979094195176
Setup / quiet,48867,50018,1.151,10,10.8,2.0,18.38912722235615
Run 1,50018,56954,6.936,61,16.442622950819672,15.0,17.475532863344508
Gap 1-2,56954,61984,5.03,43,9.883720930232558,2.0,14.273425139904075
Run 2,61984,69016,7.032,62,11.82258064516129,3.0,15.847584728512018
Gap 2-3,69016,74053,5.037,45,8.11111111111111,2.0,14.60627296323546
Run 3,74053,81394,7.341,63,14.492063492063492,15.0,16.476893889624254
Gap 3-4,81394,86431,5.037,45,17.266666666666666,15.0,19.308489785008504
Run 4,86431,93565,7.134,61,18.42622950819672,15.0,21.032729386732544
Gap 4-5,93565,98602,5.037,45,12.688888888888888,2.0,19.26865297975759
Run 5,98602,105529,6.927,61,17.18032786885246,15.0,18.818815311505865
Post-runs,105529,111822,6.293,55,22.145454545454545,15.0,23.245267891311624
BLE disconnected,111822,115469,3.647,32,10.1875,7.0,13.089684631418741
