phase,count,mean_mA,median_mA,std_mA,min_mA,max_mA
BLE advertising before connection,119,11.974789915966387,7.0,16.20688835026272,0.0,63.0
BLE connected idle,169,10.55621301775148,2.0,16.757532259670974,0.0,63.0
SWV setup / quiet time,9,12.0,2.0,19.008769905844336,0.0,63.0
SWV run 1,102,13.372549019607844,7.0,15.963758936567915,0.0,63.0
SWV run 2,105,10.41904761904762,2.0,15.550704134957058,0.0,63.0
SWV run 3,106,15.20754716981132,15.0,17.32579981607322,0.0,64.0
SWV run 4,104,15.634615384615385,6.0,20.1756982970887,0.0,63.0
SWV run 5,60,16.416666666666668,15.0,18.01322816401571,0.0,63.0
Post-measurement connected,54,22.51851851851852,15.0,23.295795790419273,0.0,63.0
BLE disconnected,32,10.1875,7.0,13.089684631418741,0.0,62.0
