line,t_ms,ibat_ua,phase,t_s,ibat_ma,dt_ms
58,15410,33000,BLE advertising before connection,0.0,33.0,
59,15677,31000,BLE advertising before connection,0.267,31.0,267
60,15783,0,BLE advertising before connection,0.373,0.0,106
61,15888,62000,BLE advertising before connection,0.478,62.0,105
62,15993,15000,BLE advertising before connection,0.583,15.0,105
63,16098,15000,BLE advertising before connection,0.688,15.0,105
64,16204,31000,BLE advertising before connection,0.794,31.0,106
65,16309,31000,BLE advertising before connection,0.899,31.0,105
66,16414,0,BLE advertising before connection,1.004,0.0,105
67,16519,0,BLE advertising before connection,1.109,0.0,105
68,16625,15000,BLE advertising before connection,1.215,15.0,106
69,16730,7000,BLE advertising before connection,1.32,7.0,105
70,16835,31000,BLE advertising before connection,1.425,31.0,105
71,16940,7000,BLE advertising before connection,1.53,7.0,105
72,17046,7000,BLE advertising before connection,1.636,7.0,106
73,17151,2000,BLE advertising before connection,1.741,2.0,105
74,17256,31000,BLE advertising before connection,1.846,31.0,105
75,17361,7000,BLE advertising before connection,1.951,7.0,105
76,17467,15000,BLE advertising before connection,2.057,15.0,106
77,17764,2000,BLE advertising before connection,2.354,2.0,297
78,17869,31000,BLE advertising before connection,2.459,31.0,105
79,17975,7000,BLE advertising before connection,2.565,7.0,106
80,18080,7000,BLE advertising before connection,2.67,7.0,105
81,18185,2000,BLE advertising before connection,2.775,2.0,105
82,18291,7000,BLE advertising before connection,2.881,7.0,106
83,18396,0,BLE advertising before connection,2.986,0.0,105
84,18501,0,BLE advertising before connection,3.091,0.0,105
85,18606,31000,BLE advertising before connection,3.196,31.0,105
86,18711,7000,BLE advertising before connection,3.301,7.0,105
87,18817,7000,BLE advertising before connection,3.407,7.0,106
88,18922,0,BLE advertising before connection,3.512,0.0,105
89,19027,2000,BLE advertising before connection,3.617,2.0,105
90,19132,0,BLE advertising before connection,3.722,0.0,105
91,19238,7000,BLE advertising before connection,3.828,7.0,106
92,19343,3000,BLE advertising before connection,3.933,3.0,105
93,19448,7000,BLE advertising before connection,4.038,7.0,105
94,19554,0,BLE advertising before connection,4.144,0.0,106
95,19851,5000,BLE advertising before connection,4.441,5.0,297
96,19957,2000,BLE advertising before connection,4.547,2.0,106
97,20062,31000,BLE advertising before connection,4.652,31.0,105
98,20167,0,BLE advertising before connection,4.757,0.0,105
99,20272,0,BLE advertising before connection,4.862,0.0,105
100,20377,7000,BLE advertising before connection,4.967,7.0,105
101,20483,31000,BLE advertising before connection,5.073,31.0,106
102,20588,7000,BLE advertising before connection,5.178,7.0,105
103,20693,7000,BLE advertising before connection,5.283,7.0,105
104,20799,63000,BLE advertising before connection,5.389,63.0,106
105,20904,7000,BLE advertising before connection,5.494,7.0,105
106,21009,2000,BLE advertising before connection,5.599,2.0,105
107,21115,0,BLE advertising before connection,5.705,0.0,106
108,21220,15000,BLE advertising before connection,5.81,15.0,105
109,21325,7000,BLE advertising before connection,5.915,7.0,105
110,21430,0,BLE advertising before connection,6.02,0.0,105
111,21536,62000,BLE advertising before connection,6.126,62.0,106
112,21641,62000,BLE advertising before connection,6.231,62.0,105
113,21939,5000,BLE advertising before connection,6.529,5.0,298
114,22044,0,BLE advertising before connection,6.634,0.0,105
115,22149,0,BLE advertising before connection,6.739,0.0,105
116,22254,2000,BLE advertising before connection,6.844,2.0,105
117,22360,31000,BLE advertising before connection,6.95,31.0,106
118,22465,7000,BLE advertising before connection,7.055,7.0,105
119,22570,0,BLE advertising before connection,7.16,0.0,105
120,22675,15000,BLE advertising before connection,7.265,15.0,105
121,22781,7000,BLE advertising before connection,7.371,7.0,106
122,22886,7000,BLE advertising before connection,7.476,7.0,105
123,22991,0,BLE advertising before connection,7.581,0.0,105
124,23096,0,BLE advertising before connection,7.686,0.0,105
125,23201,0,BLE advertising before connection,7.791,0.0,105
126,23307,2000,BLE advertising before connection,7.897,2.0,106
127,23412,15000,BLE advertising before connection,8.002,15.0,105
128,23517,2000,BLE advertising before connection,8.107,2.0,105
129,23622,0,BLE advertising before connection,8.212,0.0,105
130,23728,0,BLE advertising before connection,8.318,0.0,106
131,24025,62000,BLE advertising before connection,8.615,62.0,297
132,24131,31000,BLE advertising before connection,8.721,31.0,106
133,24236,15000,BLE advertising before connection,8.826,15.0,105
134,24341,15000,BLE advertising before connection,8.931,15.0,105
135,24446,7000,BLE advertising before connection,9.036,7.0,105
136,24552,31000,BLE advertising before connection,9.142,31.0,106
137,24657,31000,BLE advertising before connection,9.247,31.0,105
138,24762,31000,BLE advertising before connection,9.352,31.0,105
139,24867,15000,BLE advertising before connection,9.457,15.0,105
140,24973,0,BLE advertising before connection,9.563,0.0,106
141,25078,0,BLE advertising before connection,9.668,0.0,105
142,25183,7000,BLE advertising before connection,9.773,7.0,105
143,25288,0,BLE advertising before connection,9.878,0.0,105
144,25394,2000,BLE advertising before connection,9.984,2.0,106
145,25499,7000,BLE advertising before connection,10.089,7.0,105
146,25604,2000,BLE advertising before connection,10.194,2.0,105
147,25709,0,BLE advertising before connection,10.299,0.0,105
148,25814,15000,BLE advertising before connection,10.404,15.0,105
149,26112,0,BLE advertising before connection,10.702,0.0,298
150,26217,7000,BLE advertising before connection,10.807,7.0,105
151,26323,0,BLE advertising before connection,10.913,0.0,106
152,26428,0,BLE advertising before connection,11.018,0.0,105
153,26533,31000,BLE advertising before connection,11.123,31.0,105
154,26638,7000,BLE advertising before connection,11.228,7.0,105
155,26744,2000,BLE advertising before connection,11.334,2.0,106
156,26849,0,BLE advertising before connection,11.439,0.0,105
157,26954,15000,BLE advertising before connection,11.544,15.0,105
158,27059,2000,BLE advertising before connection,11.649,2.0,105
159,27165,0,BLE advertising before connection,11.755,0.0,106
160,27270,7000,BLE advertising before connection,11.86,7.0,105
161,27375,15000,BLE advertising before connection,11.965,15.0,105
162,27480,7000,BLE advertising before connection,12.07,7.0,105
163,27585,7000,BLE advertising before connection,12.175,7.0,105
164,27691,0,BLE advertising before connection,12.281,0.0,106
165,27796,62000,BLE advertising before connection,12.386,62.0,105
166,27901,0,BLE advertising before connection,12.491,0.0,105
167,28199,63000,BLE advertising before connection,12.789,63.0,298
168,28304,7000,BLE advertising before connection,12.894,7.0,105
169,28409,7000,BLE advertising before connection,12.999,7.0,105
170,28515,15000,BLE advertising before connection,13.105,15.0,106
171,28620,31000,BLE advertising before connection,13.21,31.0,105
172,28725,2000,BLE advertising before connection,13.315,2.0,105
173,28830,2000,BLE advertising before connection,13.42,2.0,105
174,28936,2000,BLE advertising before connection,13.526,2.0,106
175,29041,0,BLE advertising before connection,13.631,0.0,105
176,29146,2000,BLE advertising before connection,13.736,2.0,105
177,29251,0,BLE connected idle,13.841,0.0,105
179,29357,0,BLE connected idle,13.947,0.0,106
180,29462,0,BLE connected idle,14.052,0.0,105
181,29567,0,BLE connected idle,14.157,0.0,105
182,29672,7000,BLE connected idle,14.262,7.0,105
183,29777,63000,BLE connected idle,14.367,63.0,105
184,29883,2000,BLE connected idle,14.473,2.0,106
186,29988,15000,BLE connected idle,14.578,15.0,105
187,30296,4000,BLE connected idle,14.886,4.0,308
188,30402,0,BLE connected idle,14.992,0.0,106
189,30507,31000,BLE connected idle,15.097,31.0,105
190,30612,0,BLE connected idle,15.202,0.0,105
191,30718,0,BLE connected idle,15.308,0.0,106
192,30823,31000,BLE connected idle,15.413,31.0,105
193,30928,31000,BLE connected idle,15.518,31.0,105
194,31034,0,BLE connected idle,15.624,0.0,106
195,31139,7000,BLE connected idle,15.729,7.0,105
196,31244,2000,BLE connected idle,15.834,2.0,105
197,31349,7000,BLE connected idle,15.939,7.0,105
198,31455,2000,BLE connected idle,16.045,2.0,106
199,31560,0,BLE connected idle,16.15,0.0,105
200,31665,2000,BLE connected idle,16.255,2.0,105
201,31770,15000,BLE connected idle,16.36,15.0,105
202,31876,2000,BLE connected idle,16.466,2.0,106
203,31981,7000,BLE connected idle,16.571,7.0,105
204,32086,7000,BLE connected idle,16.676,7.0,105
205,32394,0,BLE connected idle,16.984,0.0,308
206,32500,5000,BLE connected idle,17.09,5.0,106
207,32605,0,BLE connected idle,17.195,0.0,105
208,32710,31000,BLE connected idle,17.3,31.0,105
209,32816,7000,BLE connected idle,17.406,7.0,106
210,32921,0,BLE connected idle,17.511,0.0,105
211,33026,2000,BLE connected idle,17.616,2.0,105
212,33131,0,BLE connected idle,17.721,0.0,105
213,33237,0,BLE connected idle,17.827,0.0,106
214,33342,0,BLE connected idle,17.932,0.0,105
215,33447,15000,BLE connected idle,18.037,15.0,105
216,33553,7000,BLE connected idle,18.143,7.0,106
217,33658,7000,BLE connected idle,18.248,7.0,105
218,33763,62000,BLE connected idle,18.353,62.0,105
219,33868,7000,BLE connected idle,18.458,7.0,105
220,33974,0,BLE connected idle,18.564,0.0,106
221,34079,0,BLE connected idle,18.669,0.0,105
222,34184,2000,BLE connected idle,18.774,2.0,105
223,34492,15000,BLE connected idle,19.082,15.0,308
224,34598,5000,BLE connected idle,19.188,5.0,106
225,34703,15000,BLE connected idle,19.293,15.0,105
226,34808,0,BLE connected idle,19.398,0.0,105
227,34913,0,BLE connected idle,19.503,0.0,105
228,35019,0,BLE connected idle,19.609,0.0,106
229,35124,11000,BLE connected idle,19.714,11.0,105
230,35229,0,BLE connected idle,19.819,0.0,105
231,35335,7000,BLE connected idle,19.925,7.0,106
232,35440,15000,BLE connected idle,20.03,15.0,105
233,35545,0,BLE connected idle,20.135,0.0,105
234,35650,62000,BLE connected idle,20.24,62.0,105
235,35756,0,BLE connected idle,20.346,0.0,106
236,35861,0,BLE connected idle,20.451,0.0,105
237,35966,0,BLE connected idle,20.556,0.0,105
238,36071,2000,BLE connected idle,20.661,2.0,105
239,36177,0,BLE connected idle,20.767,0.0,106
240,36282,31000,BLE connected idle,20.872,31.0,105
241,36590,2000,BLE connected idle,21.18,2.0,308
242,36695,2000,BLE connected idle,21.285,2.0,105
243,36801,15000,BLE connected idle,21.391,15.0,106
244,36906,31000,BLE connected idle,21.496,31.0,105
245,37011,62000,BLE connected idle,21.601,62.0,105
246,37116,2000,BLE connected idle,21.706,2.0,105
247,37222,7000,BLE connected idle,21.812,7.0,106
248,37327,0,BLE connected idle,21.917,0.0,105
249,37432,0,BLE connected idle,22.022,0.0,105
250,37537,2000,BLE connected idle,22.127,2.0,105
251,37643,62000,BLE connected idle,22.233,62.0,106
252,37748,2000,BLE connected idle,22.338,2.0,105
253,37853,0,BLE connected idle,22.443,0.0,105
254,37958,7000,BLE connected idle,22.548,7.0,105
255,38064,0,BLE connected idle,22.654,0.0,106
256,38169,15000,BLE connected idle,22.759,15.0,105
257,38274,8000,BLE connected idle,22.864,8.0,105
258,38379,2000,BLE connected idle,22.969,2.0,105
259,38688,2000,BLE connected idle,23.278,2.0,309
260,38793,63000,BLE connected idle,23.383,63.0,105
261,38898,0,BLE connected idle,23.488,0.0,105
262,39003,63000,BLE connected idle,23.593,63.0,105
263,39109,15000,BLE connected idle,23.699,15.0,106
264,39214,0,BLE connected idle,23.804,0.0,105
265,39319,7000,BLE connected idle,23.909,7.0,105
266,39424,2000,BLE connected idle,24.014,2.0,105
267,39530,2000,BLE connected idle,24.12,2.0,106
268,39635,0,BLE connected idle,24.225,0.0,105
269,39740,63000,BLE connected idle,24.33,63.0,105
270,39845,2000,BLE connected idle,24.435,2.0,105
271,39950,0,BLE connected idle,24.54,0.0,105
272,40056,0,BLE connected idle,24.646,0.0,106
273,40161,0,BLE connected idle,24.751,0.0,105
274,40266,0,BLE connected idle,24.856,0.0,105
275,40371,0,BLE connected idle,24.961,0.0,105
276,40477,15000,BLE connected idle,25.067,15.0,106
277,40785,15000,BLE connected idle,25.375,15.0,308
278,40890,15000,BLE connected idle,25.48,15.0,105
279,40995,31000,BLE connected idle,25.585,31.0,105
280,41101,7000,BLE connected idle,25.691,7.0,106
281,41206,0,BLE connected idle,25.796,0.0,105
282,41311,0,BLE connected idle,25.901,0.0,105
283,41416,2000,BLE connected idle,26.006,2.0,105
284,41521,15000,BLE connected idle,26.111,15.0,105
285,41627,31000,BLE connected idle,26.217,31.0,106
286,41732,7000,BLE connected idle,26.322,7.0,105
287,41837,2000,BLE connected idle,26.427,2.0,105
288,41942,7000,BLE connected idle,26.532,7.0,105
289,42048,15000,BLE connected idle,26.638,15.0,106
290,42153,15000,BLE connected idle,26.743,15.0,105
291,42258,2000,BLE connected idle,26.848,2.0,105
292,42363,31000,BLE connected idle,26.953,31.0,105
293,42469,0,BLE connected idle,27.059,0.0,106
294,42574,15000,BLE connected idle,27.164,15.0,105
295,42882,2000,BLE connected idle,27.472,2.0,308
296,42987,2000,BLE connected idle,27.577,2.0,105
297,43093,0,BLE connected idle,27.683,0.0,106
298,43198,15000,BLE connected idle,27.788,15.0,105
299,43303,0,BLE connected idle,27.893,0.0,105
300,43409,7000,BLE connected idle,27.999,7.0,106
301,43514,31000,BLE connected idle,28.104,31.0,105
302,43619,2000,BLE connected idle,28.209,2.0,105
303,43724,62000,BLE connected idle,28.314,62.0,105
304,43829,2000,BLE connected idle,28.419,2.0,105
305,43935,7000,BLE connected idle,28.525,7.0,106
306,44040,2000,BLE connected idle,28.63,2.0,105
307,44145,15000,BLE connected idle,28.735,15.0,105
308,44250,63000,BLE connected idle,28.84,63.0,105
309,44356,0,BLE connected idle,28.946,0.0,106
310,44461,0,BLE connected idle,29.051,0.0,105
311,44566,2000,BLE connected idle,29.156,2.0,105
312,44671,15000,BLE connected idle,29.261,15.0,105
313,44980,7000,BLE connected idle,29.57,7.0,309
314,45085,7000,BLE connected idle,29.675,7.0,105
315,45190,15000,BLE connected idle,29.78,15.0,105
316,45295,2000,BLE connected idle,29.885,2.0,105
317,45401,0,BLE connected idle,29.991,0.0,106
318,45506,2000,BLE connected idle,30.096,2.0,105
319,45611,62000,BLE connected idle,30.201,62.0,105
320,45716,15000,BLE connected idle,30.306,15.0,105
321,45821,15000,BLE connected idle,30.411,15.0,105
322,45927,7000,BLE connected idle,30.517,7.0,106
323,46032,63000,BLE connected idle,30.622,63.0,105
324,46137,0,BLE connected idle,30.727,0.0,105
325,46243,7000,BLE connected idle,30.833,7.0,106
326,46348,2000,BLE connected idle,30.938,2.0,105
327,46453,0,BLE connected idle,31.043,0.0,105
328,46558,7000,BLE connected idle,31.148,7.0,105
329,46664,0,BLE connected idle,31.254,0.0,106
330,46769,15000,BLE connected idle,31.359,15.0,105
331,47077,2000,BLE connected idle,31.667,2.0,308
332,47182,2000,BLE connected idle,31.772,2.0,105
333,47288,15000,BLE connected idle,31.878,15.0,106
334,47393,2000,BLE connected idle,31.983,2.0,105
335,47498,31000,BLE connected idle,32.088,31.0,105
336,47604,2000,BLE connected idle,32.194,2.0,106
337,47709,0,BLE connected idle,32.299,0.0,105
338,47814,7000,BLE connected idle,32.404,7.0,105
339,47919,2000,BLE connected idle,32.509,2.0,105
340,48025,0,BLE connected idle,32.615,0.0,106
341,48130,42000,BLE connected idle,32.72,42.0,105
342,48235,0,BLE connected idle,32.825,0.0,105
343,48340,2000,BLE connected idle,32.93,2.0,105
344,48446,2000,BLE connected idle,33.036,2.0,106
345,48551,2000,BLE connected idle,33.141,2.0,105
346,48656,7000,BLE connected idle,33.246,7.0,105
347,48762,7000,BLE connected idle,33.352,7.0,106
348,48867,2000,SWV setup / quiet time,33.457,2.0,105
350,49175,15000,SWV setup / quiet time,33.765,15.0,308
351,49280,2000,SWV setup / quiet time,33.87,2.0,105
352,49386,0,SWV setup / quiet time,33.976,0.0,106
358,49491,0,SWV setup / quiet time,34.081,0.0,105
359,49597,0,SWV setup / quiet time,34.187,0.0,106
360,49702,11000,SWV setup / quiet time,34.292,11.0,105
363,49807,15000,SWV setup / quiet time,34.397,15.0,105
364,49912,63000,SWV setup / quiet time,34.502,63.0,105
365,50018,0,SWV run 1,34.608,0.0,106
381,50123,0,SWV run 1,34.713,0.0,105
382,50229,31000,SWV run 1,34.819,31.0,106
383,50334,0,SWV run 1,34.924,0.0,105
384,50439,15000,SWV run 1,35.029,15.0,105
385,50544,15000,SWV run 1,35.134,15.0,105
386,50650,7000,SWV run 1,35.24,7.0,106
