# NanoStat SWV multi-run export
# Exported_at,2026-09-07T18:40:18.605Z
# Runs,10
# Peak_runs,0
# Dummy_runs,10
# I_peak_mean_nA,
# I_peak_sd_nA,
# V_peak_mean_mV,
# V_peak_sd_mV,
# sigma_baseline_mean_nA,
# sigma_baseline_sd_nA,
# SNR_mean,
# Dummy_mean_delta_mean_nA,69.432952
# Dummy_sd_delta_mean_nA,4.416681
# Dummy_error_mean_pct,1.071000
# Peak_search_window_mV,-400..-80

SUMMARY
run_id,mode,timestamp,frequency_hz,tia_path,peak_method,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,points,I_peak_nA,V_peak_mV,sigma_baseline_nA,SNR,baseline_points,dummy_mean_delta_nA,dummy_sd_delta_nA,dummy_expected_delta_nA,dummy_error_pct,dummy_scan_ms,dummy_boundary_jump_nA
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.46904938271605,4.4474740693489005,70.187,1.02,709,NaN
2,dummy,2026-09-07T18:36:38.898Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.40476543209876,4.375685887011328,70.187,1.11,709,NaN
3,dummy,2026-09-07T18:36:51.275Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.46476543209876,4.453909401502249,70.187,1.03,709,NaN
4,dummy,2026-09-07T18:37:03.920Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.48482716049386,4.4791359093862155,70.187,1,709,NaN
5,dummy,2026-09-07T18:37:16.114Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.35756790123456,4.316844704000456,70.187,1.18,709,NaN
6,dummy,2026-09-07T18:37:28.579Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.41895061728394,4.366406920745118,70.187,1.09,709,NaN
7,dummy,2026-09-07T18:37:40.820Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.38862962962962,4.389573320507483,70.187,1.13,709,NaN
8,dummy,2026-09-07T18:37:53.243Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.4694691358025,4.50369959335217,70.187,1.02,709,NaN
9,dummy,2026-09-07T18:38:05.844Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.43392592592592,4.436515194321376,70.187,1.07,709,NaN
10,dummy,2026-09-07T18:38:18.717Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,battery,85,,,,,,69.4375679012346,4.3975625405964145,70.187,1.06,709,NaN

RAW_DATA
run_id,mode,timestamp,frequency_hz,tia_path,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,E_WE_RE_mV,Delta_I_nA,Delta_I_avg3_nA,Delta_I_smooth5_nA,Delta_I_smooth7_nA,Delta_I_sg5_nA,I_forward_nA,I_reverse_nA
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-450.173,67.132,66.519,70.31333333333333,69.45949999999999,70.31333333333333,477.525,410.393
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-444.801,65.906,70.313,69.45949999999999,70.157,69.45949999999999,476.665,410.759
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-439.429,77.902,70.235,70.157,69.48166666666667,71.36414285714287,474.448,396.546
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-434.057,66.898,72.582,69.95160000000001,68.85671428571428,72.89774285714286,464.213,397.315
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-428.685,72.947,68.65,69.79180000000001,70.15614285714285,68.77451428571429,465.397,392.45
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-423.313,66.105,68.053,69.45700000000001,70.26171428571429,67.173,450.75,384.645
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-417.941,65.107,69.146,69.40639999999999,69.95457142857143,68.45825714285714,451.618,386.511
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-412.569,76.228,69.326,69.9674,70.01071428571429,70.03797142857144,445.396,369.168
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-407.197,66.645,72.875,70.2046,69.27385714285714,73.12945714285713,438.562,371.917
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-401.825,75.752,69.896,70.741,69.386,70.37042857142856,439.354,363.602
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-396.453,67.291,70.277,68.87339999999999,69.40528571428571,70.4524,426.39,359.099
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-391.081,67.789,67.323,68.5928,69.51199999999999,66.84579999999998,425.259,357.47
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-385.709,66.89,66.64,68.8374,69.52871428571429,65.7344,413.455,346.565
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-380.337,65.242,69.702,68.73159999999999,69.27657142857143,69.48117142857143,412.723,347.481
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-374.965,76.975,69.659,69.9712,68.99671428571428,70.57119999999999,409.873,332.898
1,dummy,2026-09-07T18:36:26.292Z,120,HSTIAEHDR,,blank,5MV,995000,battery,-369.593,66.762,72.574,69.6596,68.69585714285714,72.9936,400.347,333.585
