# NanoStat SWV multi-run export
# Exported_at,2026-09-07T22:29:53.152Z
# Runs,10
# Peak_runs,0
# Dummy_runs,10
# I_peak_mean_nA,
# I_peak_sd_nA,
# V_peak_mean_mV,
# V_peak_sd_mV,
# sigma_baseline_mean_nA,
# sigma_baseline_sd_nA,
# SNR_mean,
# Dummy_mean_delta_mean_nA,69.390104
# Dummy_sd_delta_mean_nA,0.332347
# Dummy_error_mean_pct,1.131000
# Peak_search_window_mV,-400..-80

SUMMARY
run_id,mode,timestamp,frequency_hz,tia_path,peak_method,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,points,I_peak_nA,V_peak_mV,sigma_baseline_nA,SNR,baseline_points,dummy_mean_delta_nA,dummy_sd_delta_nA,dummy_expected_delta_nA,dummy_error_pct,dummy_scan_ms,dummy_boundary_jump_nA
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.39896296296295,0.33030858467667945,70.187,1.12,709,NaN
2,dummy,2026-09-07T22:26:23.284Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.3930864197531,0.33318434077590087,70.187,1.13,709,NaN
3,dummy,2026-09-07T22:26:35.439Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.39343209876543,0.3211717974181259,70.187,1.13,709,NaN
4,dummy,2026-09-07T22:26:47.546Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.38962962962965,0.33642002929539033,70.187,1.13,709,NaN
5,dummy,2026-09-07T22:26:59.608Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.38629629629628,0.325152173775774,70.187,1.14,709,NaN
6,dummy,2026-09-07T22:27:11.666Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.40250617283951,0.33901523282357054,70.187,1.11,709,NaN
7,dummy,2026-09-07T22:27:23.769Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.38250617283953,0.3433073012425154,70.187,1.14,709,NaN
8,dummy,2026-09-07T22:27:35.653Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.37550617283951,0.31512513877255227,70.187,1.15,709,NaN
9,dummy,2026-09-07T22:27:47.802Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.39402469135806,0.3467815585966412,70.187,1.12,709,NaN
10,dummy,2026-09-07T22:27:59.953Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.38508641975308,0.3330059758296722,70.187,1.14,709,NaN

RAW_DATA
run_id,mode,timestamp,frequency_hz,tia_path,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,E_WE_RE_mV,Delta_I_nA,Delta_I_avg3_nA,Delta_I_smooth5_nA,Delta_I_smooth7_nA,Delta_I_sg5_nA,I_forward_nA,I_reverse_nA
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-450.173,70.006,69.466,69.45,69.4945,69.45,482.842,412.836
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-444.801,68.927,69.45,69.4945,69.4564,69.4945,476.461,407.534
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-439.429,69.417,69.324,69.4564,69.546,69.28054285714286,471.823,402.406
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-434.057,69.628,69.449,69.454,69.46828571428573,69.47328571428572,466.061,396.433
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-428.685,69.304,69.642,69.46900000000001,69.37457142857143,69.66785714285716,461.03,391.726
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-423.313,69.994,69.433,69.4556,69.438,69.5038857142857,455.86,385.866
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-417.941,69.002,69.448,69.40419999999999,69.43471428571429,69.40391428571428,449.989,380.987
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-412.569,69.35,69.241,69.4222,69.481,69.17891428571427,445.17,375.82
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-407.197,69.371,69.371,69.4138,69.481,69.3535142857143,439.309,369.938
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-401.825,69.394,69.572,69.4742,69.41857142857143,69.5889142857143,434.399,365.005
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-396.453,69.952,69.55,69.51559999999999,69.41485714285714,69.62217142857143,429.029,359.077
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-391.081,69.304,69.604,69.4366,69.41471428571428,69.63331428571429,423.607,354.303
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-385.709,69.557,69.279,69.4276,69.46442857142857,69.25502857142857,418.339,348.782
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-380.337,68.976,69.294,69.381,69.46128571428571,69.21128571428571,412.384,343.408
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-374.965,69.349,69.348,69.3946,69.46828571428571,69.32817142857142,407.7,338.351
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-369.593,69.719,69.48,69.4834,69.436,69.51268571428571,402.021,332.302
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-364.221,69.372,69.697,69.5038,69.40257142857142,69.7338,396.953,327.581
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-358.849,70.001,69.483,69.4986,69.46985714285714,69.55117142857144,391.79,321.789
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-353.477,69.078,69.467,69.4442,69.47628571428571,69.42162857142857,385.934,316.856
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-348.105,69.323,69.282,69.4486,69.49028571428572,69.21731428571428,381.043,311.72
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-342.733,69.447,69.388,69.4118,69.5,69.38622857142857,375.164,305.717
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-337.361,69.394,69.552,69.4842,69.43071428571429,69.55934285714285,370.254,300.86
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-331.989,69.817,69.55,69.5228,69.408,69.60022857142856,364.937,295.12
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-326.617,69.44,69.591,69.41720000000001,69.41114285714286,69.64391428571427,359.575,290.135
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-321.245,69.516,69.291,69.40740000000001,69.45157142857144,69.27411428571429,354.175,284.659
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-315.873,68.919,69.26,69.39000000000001,69.45471428571429,69.15557142857143,348.284,279.365
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-310.501,69.345,69.331,69.3852,69.47900000000001,69.3102,343.596,274.251
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-305.129,69.73,69.497,69.47940000000001,69.43371428571429,69.53782857142858,337.944,268.214
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-299.757,69.416,69.711,69.52019999999999,69.4007142857143,69.75062857142856,332.898,263.482
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-294.385,69.987,69.508,69.50820000000002,69.48528571428571,69.57719999999999,327.721,257.734
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-289.013,69.123,69.465,69.4644,69.4827142857143,69.4164,321.834,252.711
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-283.641,69.285,69.306,69.4466,69.50257142857143,69.24317142857144,316.973,247.688
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-278.269,69.511,69.374,69.423,69.48328571428571,69.37299999999999,311.177,241.666
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-272.897,69.327,69.569,69.4546,69.41642857142857,69.58345714285714,306.177,236.85
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-267.525,69.869,69.492,69.5014,69.37128571428572,69.54225714285715,300.882,231.013
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-262.153,69.281,69.556,69.3606,69.36157142857142,69.60088571428572,295.407,226.126
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-256.781,69.519,69.202,69.3386,69.3922857142857,69.18917142857143,290.237,220.718
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-251.409,68.807,69.181,69.31,69.37599999999999,69.07228571428573,284.117,215.31
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-246.037,69.217,69.25,69.29639999999999,69.36585714285715,69.22540000000001,279.527,210.31
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-240.665,69.726,69.385,69.3522,69.33028571428571,69.4482,273.889,204.163
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-235.293,69.213,69.579,69.39719999999998,69.29085714285713,69.60462857142856,268.753,199.54
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-229.921,69.798,69.347,69.4024,69.3682857142857,69.38854285714287,263.572,193.774
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-224.549,69.032,69.357,69.327,69.37628571428571,69.32428571428571,257.734,188.702
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-219.177,69.243,69.208,69.33899999999998,69.37642857142858,69.15685714285715,252.922,183.679
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-213.805,69.349,69.288,69.32479999999998,69.3732857142857,69.28137142857143,247.078,177.729
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-208.433,69.273,69.449,69.3566,69.31828571428571,69.4643142857143,242.137,172.864
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-203.061,69.727,69.397,69.3906,69.286,69.44688571428571,236.783,167.056
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-197.689,69.191,69.443,69.282,69.29471428571428,69.47685714285714,231.352,162.161
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-192.317,69.413,69.136,69.2882,69.33999999999999,69.11120000000001,226.08,156.667
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-186.945,68.806,69.174,69.27599999999998,69.33042857142858,69.07814285714286,220.152,151.346
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-181.573,69.304,69.258,69.279,69.34871428571428,69.25642857142857,215.514,146.21
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-176.201,69.666,69.392,69.3674,69.32285714285715,69.44168571428571,209.744,140.078
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-170.829,69.206,69.575,69.4082,69.31042857142857,69.59462857142856,204.691,135.485
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-165.457,69.855,69.357,69.4126,69.414,69.40431428571428,199.54,129.685
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-160.085,69.01,69.397,69.38560000000001,69.41557142857143,69.34660000000001,193.725,124.715
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-154.713,69.326,69.289,69.4074,69.45057142857144,69.24354285714286,188.905,119.579
1,dummy,2026-09-07T22:26:11.179Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-149.341,69.531,69.39,69.4186,69.47114285714285,69.39874285714285,183.136,113.605
