# NanoStat SWV multi-run export
# Exported_at,2026-09-07T18:51:22.229Z
# Runs,10
# Peak_runs,0
# Dummy_runs,10
# I_peak_mean_nA,
# I_peak_sd_nA,
# V_peak_mean_mV,
# V_peak_sd_mV,
# sigma_baseline_mean_nA,
# sigma_baseline_sd_nA,
# SNR_mean,
# Dummy_mean_delta_mean_nA,69.808756
# Dummy_sd_delta_mean_nA,10.347822
# Dummy_error_mean_pct,0.538000
# Peak_search_window_mV,-400..-80

SUMMARY
run_id,mode,timestamp,frequency_hz,tia_path,peak_method,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,points,I_peak_nA,V_peak_mV,sigma_baseline_nA,SNR,baseline_points,dummy_mean_delta_nA,dummy_sd_delta_nA,dummy_expected_delta_nA,dummy_error_pct,dummy_scan_ms,dummy_boundary_jump_nA
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.55135802469134,2.5087092662793844,70.187,0.9,709,NaN
2,dummy,2026-09-07T18:49:15.918Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.93196296296298,11.796840616712219,70.187,0.36,709,NaN
3,dummy,2026-09-07T18:49:28.202Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,70.19818518518517,12.02736876368966,70.187,0.01,709,NaN
4,dummy,2026-09-07T18:49:40.356Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.77291358024691,11.617427766288811,70.187,0.59,709,NaN
5,dummy,2026-09-07T18:49:52.551Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,70.00383950617284,11.695027055822473,70.187,0.26,709,NaN
6,dummy,2026-09-07T18:50:04.973Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.69588888888892,11.424551829284159,70.187,0.7,709,NaN
7,dummy,2026-09-07T18:50:17.663Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.38500000000003,7.771289005049292,70.187,1.14,709,NaN
8,dummy,2026-09-07T18:50:29.905Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,70.14583950617283,11.723020503966536,70.187,0.05,709,NaN
9,dummy,2026-09-07T18:50:42.100Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,70.01199999999997,11.575597718908513,70.187,0.24,709,NaN
10,dummy,2026-09-07T18:50:54.294Z,120,HSTIAEHDR,SG5,,blank,5MV,995000,mac_usb_c,85,,,,,,69.39056790123458,11.338382664580374,70.187,1.13,709,NaN

RAW_DATA
run_id,mode,timestamp,frequency_hz,tia_path,concentration,concentration_unit,dummy_profile,dummy_resistor_ohm,power_source,E_WE_RE_mV,Delta_I_nA,Delta_I_avg3_nA,Delta_I_smooth5_nA,Delta_I_smooth7_nA,Delta_I_sg5_nA,I_forward_nA,I_reverse_nA
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-450.173,67.788,68.566,68.22399999999999,69.54624999999999,68.22399999999999,482.955,415.167
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-444.801,69.345,68.224,69.54624999999999,69.07239999999999,69.54624999999999,474.9,405.555
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-439.429,67.539,70.132,69.07239999999999,69.45299999999999,70.2161142857143,471.37,403.831
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-434.057,73.513,69.409,69.786,69.41228571428572,69.83457142857144,468.022,394.509
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-428.685,67.177,70.682,69.7506,69.2117142857143,70.58045714285714,458.926,391.749
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-423.313,71.356,69.233,69.5196,69.66100000000002,69.4143142857143,457.991,386.635
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-417.941,69.168,68.969,69.31500000000001,69.64485714285715,68.84957142857144,448.382,379.214
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-412.569,66.384,69.347,69.3648,69.64857142857143,68.91651428571427,445.576,379.192
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-407.197,72.49,68.766,69.8014,69.94271428571429,68.85511428571428,440.033,367.543
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-401.825,67.426,71.151,69.815,69.45128571428572,71.19228571428572,432.997,365.571
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-396.453,73.539,70.067,70.1214,69.496,70.53968571428572,432.367,358.828
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-391.081,69.236,70.23,69.5196,69.64814285714286,70.39288571428573,422.837,353.601
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-385.709,67.916,68.877,69.52420000000001,69.82971428571429,68.46320000000001,418.961,351.045
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-380.337,69.481,68.282,69.56859999999999,69.79742857142858,67.90188571428571,410.891,341.41
1,dummy,2026-09-07T18:49:03.809Z,120,HSTIAEHDR,,blank,5MV,995000,mac_usb_c,-374.965,67.449,70.23,69.16139999999999,69.50371428571428,70.29111428571429,407.271,339.822
