condition,session,run_id,mean_delta_nA,within_scan_sd_nA,baseline_rms_nA,fixed_minus300_nA,error_pct,scan_ms
Battery only,5mVBattery,1,69.46904938271605,4.4474740693489005,4.32616174498677,74.78,1.02,709.0
Battery only,5mVBattery,2,69.40476543209876,4.375685887011328,4.345641969856412,65.978,1.11,709.0
Battery only,5mVBattery,3,69.46476543209876,4.453909401502249,4.45700615280637,73.648,1.03,709.0
Battery only,5mVBattery,4,69.48482716049386,4.4791359093862155,4.4533052747170245,73.626,1.0,709.0
Battery only,5mVBattery,5,69.35756790123456,4.316844704000456,4.121743571718881,77.947,1.18,709.0
Battery only,5mVBattery,6,69.41895061728394,4.366406920745118,4.120064597069282,77.337,1.09,709.0
Battery only,5mVBattery,7,69.38862962962962,4.389573320507483,4.356043367837976,64.733,1.13,709.0
Battery only,5mVBattery,8,69.4694691358025,4.50369959335217,4.405141253973091,73.807,1.02,709.0
Battery only,5mVBattery,9,69.43392592592592,4.436515194321376,4.461012374818524,67.313,1.07,709.0
Battery only,5mVBattery,10,69.4375679012346,4.3975625405964145,4.486584354673122,67.449,1.06,709.0
Battery only,5mVBattery_run2,1,69.39896296296295,0.33030858467667945,0.30117900474536374,69.416,1.12,709.0
Battery only,5mVBattery_run2,2,69.3930864197531,0.33318434077590087,0.29156567764175867,69.349,1.13,709.0
Battery only,5mVBattery_run2,3,69.39343209876543,0.3211717974181259,0.33345732407948236,69.122,1.13,709.0
Battery only,5mVBattery_run2,4,69.38962962962965,0.33642002929539033,0.2813630601156331,69.259,1.13,709.0
Battery only,5mVBattery_run2,5,69.38629629629628,0.325152173775774,0.3191795881121734,69.439,1.14,709.0
Battery only,5mVBattery_run2,6,69.40250617283951,0.33901523282357054,0.33251095991190727,69.236,1.11,709.0
Battery only,5mVBattery_run2,7,69.38250617283953,0.3433073012425154,0.3520232644275443,69.418,1.14,709.0
Battery only,5mVBattery_run2,8,69.37550617283951,0.31512513877255227,0.2650428568672068,69.667,1.15,709.0
Battery only,5mVBattery_run2,9,69.39402469135806,0.3467815585966412,0.35198182779881043,69.87,1.12,709.0
Battery only,5mVBattery_run2,10,69.38508641975308,0.3330059758296722,0.35966077048030437,69.485,1.14,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC,1,69.3741728395062,2.675370781733456,2.5383492702446357,71.408,1.15,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC,2,69.37958024691358,2.8750283210091925,3.0033175088844013,71.658,1.15,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC,3,69.39658024691359,2.829070359076447,2.730729210974357,72.267,1.12,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC,4,69.39451851851854,2.7962140793898045,2.6749711296346157,72.404,1.12,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC,5,69.46145679012349,2.8305343490646018,2.7488921835325595,69.236,1.03,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC,6,69.34139506172839,2.883652400511425,2.7734356601419017,68.558,1.2,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC,7,69.44066666666664,2.75419816371299,2.5493373846142298,65.367,1.06,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC,8,69.43124691358025,2.7402784554259454,2.671505348750467,70.299,1.07,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC,9,69.4064320987654,2.8075234234920976,2.7029736222107066,70.843,1.11,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC,10,69.44846913580247,2.7975748608679796,2.790406216318875,69.123,1.05,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC_run2,1,69.35328395061725,1.6326128080056819,1.6350179196672852,71.408,1.18,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC_run2,2,69.38295061728392,1.633126326262259,1.67176847155496,68.534,1.14,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC_run2,3,69.33008641975306,1.596366986296782,1.6309348355681859,68.942,1.22,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC_run2,4,69.43235802469138,1.6686922372672721,1.5937545229080738,70.707,1.07,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC_run2,5,69.3621234567901,1.6372068698145337,1.6173674936350906,71.318,1.17,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC_run2,6,69.4192098765432,1.6639501173115845,1.6248104996470547,72.177,1.09,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC_run2,7,69.39311111111111,1.6457924990714958,1.7538623987101913,68.127,1.13,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC_run2,8,69.39595061728396,1.624769005899258,1.62442832547804,68.534,1.12,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC_run2,9,69.39313580246917,1.6106515975924653,1.5743376215874307,67.81,1.13,709.0
"USB-C + battery, MacBook unplugged",5mVUSBC_run2,10,69.37533333333336,1.6483579708303657,1.6139015133131744,71.884,1.15,709.0
"USB-C + battery, MacBook on mains",5mVUSBC_MainsOn,1,69.73676543209878,66.18295953723126,62.54770400262507,196.237,0.64,709.0
"USB-C + battery, MacBook on mains",5mVUSBC_MainsOn,2,71.56929629629633,67.37871218130479,65.95373720676078,36.496,1.96,709.0
"USB-C + battery, MacBook on mains",5mVUSBC_MainsOn,3,71.73974074074074,67.34844611677723,71.96283975931503,25.997,2.21,709.0
"USB-C + battery, MacBook on mains",5mVUSBC_MainsOn,4,68.0298024691358,65.10387210612356,64.9946831350264,40.456,3.07,709.0
"USB-C + battery, MacBook on mains",5mVUSBC_MainsOn,5,71.36228395061728,66.2106879172907,67.86555001152546,20.16,1.67,709.0
"USB-C + battery, MacBook on mains",5mVUSBC_MainsOn,6,68.13960493827159,65.88473513145496,64.86216098163166,49.325,2.91,709.0
"USB-C + battery, MacBook on mains",5mVUSBC_MainsOn,7,71.03264197530865,67.15441355475242,69.77421002077823,32.854,1.2,709.0
"USB-C + battery, MacBook on mains",5mVUSBC_MainsOn,8,71.41264197530862,67.38932189844856,68.58482898903824,31.97,1.74,709.0
"USB-C + battery, MacBook on mains",5mVUSBC_MainsOn,9,70.23692592592592,69.49540296986875,67.65339649739055,8.032,0.06,709.0
"USB-C + battery, MacBook on mains",5mVUSBC_MainsOn,10,67.38577777777782,68.34368707349641,69.27536489270736,153.926,3.99,709.0
"USB-C only, no battery",5mVUSBC_only,1,69.55135802469134,2.5087092662793844,2.5774656168254033,67.2,0.9,709.0
"USB-C only, no battery",5mVUSBC_only,2,69.93196296296298,11.796840616712219,11.560568023144514,64.53,0.36,709.0
"USB-C only, no battery",5mVUSBC_only,3,70.19818518518517,12.02736876368966,12.743830667072043,61.95,0.01,709.0
"USB-C only, no battery",5mVUSBC_only,4,69.77291358024691,11.617427766288811,11.972469664602308,59.461,0.59,709.0
"USB-C only, no battery",5mVUSBC_only,5,70.00383950617284,11.695027055822473,11.530928760121881,64.507,0.26,709.0
"USB-C only, no battery",5mVUSBC_only,6,69.69588888888892,11.424551829284159,11.244449188916734,65.164,0.7,709.0
"USB-C only, no battery",5mVUSBC_only,7,69.38500000000003,7.771289005049292,11.09227346788703,86.228,1.14,709.0
"USB-C only, no battery",5mVUSBC_only,8,70.14583950617283,11.723020503966536,11.2756768080364,84.916,0.05,709.0
"USB-C only, no battery",5mVUSBC_only,9,70.01199999999997,11.575597718908513,11.16005595095304,84.825,0.24,709.0
"USB-C only, no battery",5mVUSBC_only,10,69.39056790123458,11.338382664580374,11.460835621196855,62.448,1.13,709.0
"USB-C only, no battery",5mVUSBC_only_run2,1,69.4471481481481,2.5012892931002164,2.4345302014506087,68.353,1.05,709.0
"USB-C only, no battery",5mVUSBC_only_run2,2,69.43435802469136,2.4824549709342256,2.3693424923707935,73.377,1.07,709.0
"USB-C only, no battery",5mVUSBC_only_run2,3,69.42482716049379,2.456110068737369,2.36258065702459,68.399,1.08,709.0
"USB-C only, no battery",5mVUSBC_only_run2,4,69.39583950617283,2.4367158249208614,2.3580680036969195,66.815,1.12,709.0
"USB-C only, no battery",5mVUSBC_only_run2,5,69.4602962962963,2.498895243124671,2.3991063844246243,71.906,1.03,709.0
"USB-C only, no battery",5mVUSBC_only_run2,6,69.36155555555555,2.4695646630529837,2.3956770534399463,72.698,1.17,709.0
"USB-C only, no battery",5mVUSBC_only_run2,7,69.44799999999998,2.502068494266294,2.5752916328219673,67.879,1.05,709.0
"USB-C only, no battery",5mVUSBC_only_run2,8,69.44172839506172,2.504875770434263,2.408098911353914,73.082,1.06,709.0
"USB-C only, no battery",5mVUSBC_only_run2,9,69.4036419753086,2.4500841480888065,2.346791184555058,66.747,1.11,709.0
"USB-C only, no battery",5mVUSBC_only_run2,10,69.4433827160494,2.47761231616198,2.554031198115392,67.856,1.06,709.0
