dataset,file,round,source_run_id,sensor,filter,peak_height_nA,peak_voltage_mV,sigma_baseline_nA,snr,baseline_slope_nA_per_mV
sensor24_today,sensor24blankpbsrun1.csv,1,1,2,raw,454.36988257621636,-267.525,38.5409940873423,11.78926214374531,-0.05160059285504145
sensor24_today,sensor24blankpbsrun1.csv,1,1,2,avg3,424.27196810014135,-262.153,31.18101598852891,13.606739698803448,-0.049051576253867545
sensor24_today,sensor24blankpbsrun1.csv,1,1,2,smooth5,416.65717771047844,-267.525,30.026900567841857,13.876130064409946,-0.0536165946494216
sensor24_today,sensor24blankpbsrun1.csv,1,1,2,smooth7,407.2419851576246,-267.525,29.557903598134693,13.777769583879566,-0.060986235189013145
sensor24_today,sensor24blankpbsrun1.csv,1,1,2,sg5,429.6872680914887,-267.525,32.52274020285928,13.211902361588589,-0.047459765020637805
sensor24_today,sensor24blankpbsrun1.csv,1,2,4,raw,275.1320724813245,-262.153,17.941337206719172,15.335092881387089,-0.03765712665549089
sensor24_today,sensor24blankpbsrun1.csv,1,2,4,avg3,254.01887349081363,-267.525,13.878992176072202,18.302400510661702,-0.03445682791283485
sensor24_today,sensor24blankpbsrun1.csv,1,2,4,smooth5,247.25729892186558,-267.525,13.020951925922507,18.98918760537148,-0.03893085848374572
sensor24_today,sensor24blankpbsrun1.csv,1,2,4,smooth7,245.58543586859338,-262.153,12.34351447024302,19.895908613437083,-0.040433780332702125
sensor24_today,sensor24blankpbsrun1.csv,1,2,4,sg5,256.63112816244126,-267.525,14.796297703522587,17.34427985328685,-0.032995985473750024
sensor24_today,sensor24blankpbsrun2.csv,2,1,2,raw,389.3726065414901,-267.525,23.804872991224496,16.3568445286404,-0.091578289382594
sensor24_today,sensor24blankpbsrun2.csv,2,1,2,avg3,379.69234512416716,-267.525,17.849524091980506,21.271846978528497,-0.08331975070502635
sensor24_today,sensor24blankpbsrun2.csv,2,1,2,smooth5,369.16682798304055,-262.153,17.155703291675337,21.518606477775567,-0.08178037814578407
sensor24_today,sensor24blankpbsrun2.csv,2,1,2,smooth7,350.68390411006305,-267.525,17.906811219856568,19.58382761757132,-0.08433445003176653
sensor24_today,sensor24blankpbsrun2.csv,2,1,2,sg5,390.52982332093114,-267.525,18.879347354216925,20.685557397390735,-0.08515804245472818
sensor24_today,sensor24blankpbsrun2.csv,2,2,4,raw,269.6580365838886,-256.781,25.61474429249672,10.527453778364636,-0.08353880910942608
sensor24_today,sensor24blankpbsrun2.csv,2,2,4,avg3,255.5426554411468,-251.409,15.918148753290469,16.05354111220522,-0.07431637737246874
sensor24_today,sensor24blankpbsrun2.csv,2,2,4,smooth5,248.74526359781953,-256.781,12.530086647071018,19.851839065770964,-0.0715655080316404
sensor24_today,sensor24blankpbsrun2.csv,2,2,4,smooth7,243.16371935623428,-256.781,11.755722055572003,20.684711513826496,-0.06707420457545046
sensor24_today,sensor24blankpbsrun2.csv,2,2,4,sg5,261.423891205907,-251.409,18.53117571025979,14.107247985413553,-0.0768130242382856
sensor24_today,sensor24blankpbsrun3.csv,3,1,2,raw,373.392545891379,-267.525,27.756233034279266,13.452565606803882,-0.07413860805345379
sensor24_today,sensor24blankpbsrun3.csv,3,1,2,avg3,359.6510840702605,-272.897,23.352558491970765,15.400928518985111,-0.06874966456846256
sensor24_today,sensor24blankpbsrun3.csv,3,1,2,smooth5,349.05843026852415,-278.269,22.40687845258488,15.57818198582036,-0.0684528597107674
sensor24_today,sensor24blankpbsrun3.csv,3,1,2,smooth7,343.5441436531971,-267.525,21.29635755594773,16.131591646631176,-0.07715711068792962
sensor24_today,sensor24blankpbsrun3.csv,3,1,2,sg5,364.56447020160937,-272.897,24.060918546816836,15.15172704201851,-0.06964639679791455
