dataset,sensor,filter,n_blank,peak_window_mV,baseline_left_mV,baseline_right_mV,I_peak_mean_nA,I_peak_sd_nA,I_peak_cv_pct,V_peak_mean_mV,V_peak_sd_mV,sigma_baseline_mean_nA,sigma_baseline_sd_nA,SNR_mean
sensor135_previous,1,avg3,4,-300..-200,-400..-330,-170..-100,200.3123298203109,9.23494450244323,4.610272623121796,-251.409,4.386219632743744,7.46544335342891,0.9753506640426548,27.039921147934567
sensor135_previous,1,raw,4,-300..-200,-400..-330,-170..-100,208.8904813547345,6.526746185493136,3.1244823331176677,-255.43800000000002,6.759618431045749,12.011924987330069,1.8083976460101903,17.650320609587773
sensor135_previous,1,sg5,4,-300..-200,-400..-330,-170..-100,202.80683186986238,9.360319477130298,4.615386666627017,-251.409,4.386219632743744,7.819992558387232,1.5562125846626684,26.493857130789035
sensor135_previous,1,smooth5,4,-300..-200,-400..-330,-170..-100,194.06911937815465,10.003769197305937,5.154745499624299,-250.066,2.685999999999993,6.836104624039772,0.6453138511180821,28.485897713201474
sensor135_previous,1,smooth7,4,-300..-200,-400..-330,-170..-100,188.7020690937671,10.468406817893884,5.547584543279212,-250.066,2.685999999999993,6.896013925801218,0.5269875710519205,27.444974304234087
sensor135_previous,3,avg3,4,-300..-200,-400..-330,-170..-100,168.9215974863719,10.504436944333245,6.218528063103779,-243.351,5.372,7.986503436050216,0.7516744340367483,21.284382639084328
sensor135_previous,3,raw,4,-300..-200,-400..-330,-170..-100,180.1412598425197,15.402780074991227,8.55038989316296,-240.665,8.772439265487488,13.507359868782647,1.1991751414803,13.345068170542284
sensor135_previous,3,sg5,4,-300..-200,-400..-330,-170..-100,170.3744978102737,10.347233848714238,6.073229257724211,-242.008,8.058000000000007,8.61098539188966,0.39774846099512423,19.79911120019736
sensor135_previous,3,smooth5,4,-300..-200,-400..-330,-170..-100,164.77786390066626,8.52545384032579,5.1739072461002555,-242.00799999999998,2.686000000000007,7.355676168760239,1.0698102388582262,22.756523904922002
sensor135_previous,3,smooth7,4,-300..-200,-400..-330,-170..-100,160.23864593608494,7.64134325127031,4.768726799100789,-244.69400000000002,2.686000000000007,7.405261844099996,0.7431564299913691,21.763951922991723
sensor135_previous,5,avg3,4,-300..-200,-400..-330,-170..-100,169.05927119927316,12.603869437554174,7.455296209515638,-251.409,7.597155257068273,8.387606811930599,0.9031771253777603,20.23924407591118
sensor135_previous,5,raw,4,-300..-200,-400..-330,-170..-100,173.0475160508783,12.23697370061305,7.071452962673683,-252.752,6.7596184310457526,11.68849114444585,2.581250910905429,15.384433192866577
sensor135_previous,5,sg5,4,-300..-200,-400..-330,-170..-100,171.185697270918,12.583581826136944,7.350837147464604,-254.095,6.935222178608755,8.845783979069733,1.236858001219814,19.55547545092123
sensor135_previous,5,smooth5,4,-300..-200,-400..-330,-170..-100,165.56075705431053,10.438440100018942,6.304899956814475,-252.752,2.686000000000007,8.080696769331153,0.5711050029470788,20.514727262296176
sensor135_previous,5,smooth7,4,-300..-200,-400..-330,-170..-100,161.56488236278156,12.10621512345605,7.493098095582722,-251.409,0.0,8.154239776502934,0.27166073274462016,19.813186650098302
sensor24_today,2,avg3,5,-300..-200,-400..-330,-170..-100,385.2325895659197,24.025558213147114,6.236636999018989,-266.4506,4.494537662541038,22.424189886174297,5.540648094916546,17.8570481474574
sensor24_today,2,raw,5,-300..-200,-400..-330,-170..-100,399.6295087179487,31.452716137269384,7.870468884585834,-264.30179999999996,7.2072943050773155,27.045162163048495,7.24632424268339,15.42780974354055
sensor24_today,2,sg5,5,-300..-200,-400..-330,-170..-100,390.97546582261845,24.204995221463626,6.19092432578498,-267.525,3.7985776285341233,23.215530429049778,5.952884055006187,17.58892575357786
sensor24_today,2,smooth5,5,-300..-200,-400..-330,-170..-100,377.4152769537654,24.624290009337486,6.524455026857337,-267.525,6.57932944911561,21.737120263929093,5.057672150297828,17.919121280721072
sensor24_today,2,smooth7,5,-300..-200,-400..-330,-170..-100,366.42502188457206,24.799792597400014,6.768040149073723,-267.525,0.0,21.750527322981107,4.547423602595349,17.21420505844233
sensor24_today,4,avg3,5,-300..-200,-400..-330,-170..-100,258.9680768746215,5.871620579364451,2.2673144312714557,-257.8554,7.0042310641497245,12.653640353706479,2.2319272572560878,20.986800690255908
sensor24_today,4,raw,5,-300..-200,-400..-330,-170..-100,279.40477536846356,14.230790398689837,5.093252389807246,-254.6322,6.125022383632576,20.238732773832076,3.224312258853482,14.071781166356525
sensor24_today,4,sg5,5,-300..-200,-400..-330,-170..-100,262.27468308130716,5.92556929267619,2.2592990002162043,-257.8554,7.0042310641497245,14.159281880341073,2.6725156906016436,19.011910261544813
sensor24_today,4,smooth5,5,-300..-200,-400..-330,-170..-100,251.15404756874622,3.7567031733325007,1.49577648049021,-260.00419999999997,7.207294305077311,11.131404536120952,1.673286803436899,23.013790355100454
sensor24_today,4,smooth7,5,-300..-200,-400..-330,-170..-100,245.13727159989617,1.97672666333555,0.8063754036399201,-260.0042,2.94236557891776,10.949446681052441,1.2589154483791998,22.634218954552022
