No.	Quantity	Comment	Designator	Footprint	Value
1	3	EVQP1Y05M	BOOT,RESET,SLP	SW-SMD_4P-L6.1-W6.0-P4.50-LS7.4	
2	3	1uF	C1,C5,C15	C0603	1uF
3	1	2.2uF	C2	C0603	2.2uF
4	8	100nF	C3,C10,C11,C16,C18,C19,C28,C36	C0603	100nF
5	8	10uF	C4,C9,C12,C13,C14,C20,C32,C33	C0603	10uF
6	2	10uF	C6,C7	C0402	10uF
7	1	4.7nF	C8	C0603	4.7nF
8	7	100nF	C17,C22,C27,C29,C30,C31,C34	C0402	100nF
9	1	4.7uF	C21	C0402	4.7uF
10	4	470nF	C23,C24,C25,C26	C0402	470nF
11	3	6GHz	CE,RE,WE	ANT-SMD_UFL-R-SMT-1-10	6GHz
12	1	BM04B-SRSS-TB(LF)(SN)	CN1	CONN-SMD_BM04B-SRSS-TB	
13	1	SM02B-SRSS-TB(LF)(SN)	CN3	CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN	
14	4	ESD5V0D5B-TP	D1,D2,D3,D4	SOD-523_L1.2-W0.8-LS1.6-BI	
15	1	1N4148WT	D6	SOD-523_L1.2-W0.8-LS1.6-FD	
16	2	2.2uH	L1,L2	L0806	2.2uH
17	1	GL0603UB01	LED1	LED0603-RD_BLUE	
18	2	GL0603UG01	LED2,LED4	LED0603-RD	
19	1	DMP2130L-7	Q1	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	
20	2	250K	R1,R2	R0603	250K
21	3	10K	R3,R4,R9	R0603	10K
22	2	27	R5,R6	R0603	27
23	1	1M	R7	R0603	1M
24	2	50	R10,R11	R0402	50
25	3	2MΩ	R12,R13,R16	R0805	2MΩ
26	1	200	R14	R0603	200
27	1	10MΩ	R15	R0805	10MΩ
28	2	10K	R17,R18	R0402	10K
29	1	AD5941BCPZ-RL7	U1	LFCSP-48_L7.0-W7.0-P0.50-BL-EP5.1	
30	1	MDBT50Q-1MV2	U2	COMM-SMD_MDBT50Q-1MV2-1	
31	1	nPM1300-QEAA-R7	U3	QFN-32_L5.0-W5.0-P0.50-TL-EP3.5	
32	1	MX25R6435FM2IL0	U4	SOP-8_L5.3-W5.3-P1.27-LS7.9-BL	
33	2	5015680807	U5,U6	CONN-SMD_8P-P1.00_5015680807	
34	1	ADA4505-2ARMZ-RL	U7	MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL	
35	1	USB4110-GF-A	USB2	USB-C-SMD_TYPE-C-16P-USB4110-GF-A	
